"Parameter","Estimate","SE","t_ratio","Sig"
"b_HabitatMed_1",-0.3516,NA,NA,NA
"b_HabitatHigh_1",-0.2946,NA,NA,NA
"b_TrailCondMed_1",0.5742,NA,NA,NA
"b_TrailCondHigh_1",0.652,NA,NA,NA
"b_CrowdingMed_1",-0.0179,NA,NA,NA
"b_CrowdingLow_1",0.583,NA,NA,NA
"b_cost_1",-0.0066,NA,NA,NA
"asc_optout_1",-1.3668,NA,NA,NA
"b_HabitatMed_2",1.3775,NA,NA,NA
"b_HabitatHigh_2",2.9014,NA,NA,NA
"b_TrailCondMed_2",-1.6808,NA,NA,NA
"b_TrailCondHigh_2",-0.1552,NA,NA,NA
"b_CrowdingMed_2",-0.6499,NA,NA,NA
"b_CrowdingLow_2",-2.2961,NA,NA,NA
"b_cost_2",-0.0457,NA,NA,NA
"asc_optout_2",-3.468,NA,NA,NA
"b_HabitatMed_3",57.4153,NA,NA,NA
"b_HabitatHigh_3",1.3439,NA,NA,NA
"b_TrailCondMed_3",-0.5145,NA,NA,NA
"b_TrailCondHigh_3",81.1116,NA,NA,NA
"b_CrowdingMed_3",212.7905,NA,NA,NA
"b_CrowdingLow_3",-25.2757,NA,NA,NA
"b_cost_3",-0.143,NA,NA,NA
"asc_optout_3",-1.6877,NA,NA,NA
"delta_2",0,NA,NA,NA
"delta_3",-0.5,NA,NA,NA
