"Choice.Task","block","Alternative","Habitat_Quality","Trail_Condition","Crowding","Cost"
1,1,1,2,1,2,10
1,1,2,3,3,3,5
1,1,3,0,0,0,0
2,1,1,2,3,2,40
2,1,2,1,2,3,10
2,1,3,0,0,0,0
3,1,1,3,2,2,20
3,1,2,2,3,1,80
3,1,3,0,0,0,0
4,1,1,1,2,1,5
4,1,2,1,1,3,20
4,1,3,0,0,0,0
5,2,1,1,3,2,10
5,2,2,2,1,1,40
5,2,3,0,0,0,0
6,2,1,2,2,3,80
6,2,2,2,3,2,40
6,2,3,0,0,0,0
7,2,1,3,2,1,5
7,2,2,1,1,3,20
7,2,3,0,0,0,0
8,2,1,1,2,3,80
8,2,2,3,1,1,20
8,2,3,0,0,0,0
9,3,1,2,1,3,80
9,3,2,3,2,1,40
9,3,3,0,0,0,0
10,3,1,3,3,3,5
10,3,2,1,2,1,10
10,3,3,0,0,0,0
11,3,1,3,3,2,10
11,3,2,2,2,2,20
11,3,3,0,0,0,0
12,3,1,2,1,1,20
12,3,2,1,3,2,5
12,3,3,0,0,0,0
13,4,1,3,3,2,80
13,4,2,2,2,3,40
13,4,3,0,0,0,0
14,4,1,1,2,1,20
14,4,2,1,3,3,10
14,4,3,0,0,0,0
15,4,1,2,3,1,40
15,4,2,3,1,2,80
15,4,3,0,0,0,0
16,4,1,1,1,3,5
16,4,2,2,2,2,10
16,4,3,0,0,0,0
