"Scenario","CV","CI_low","CI_high","Sim_CI_low","Sim_CI_high","Bundle","Level"
"Habitat Only: Low → Medium",25.9,15.14,36.66,-130.5,190.07,"Bundle 1: Habitat Quality","Low → Medium"
"Habitat Only: Low → High",62.68,45.48,79.87,-164.48,280.06,"Bundle 1: Habitat Quality","Low → High"
"Habitat Only: Medium → High",36.77,22.15,51.4,-221.98,298.5,"Bundle 1: Habitat Quality","Medium → High"
"Trail Condition Only: Low → Medium",35.64,23.13,48.14,-40.17,108.49,"Bundle 2: Trail Condition","Low → Medium"
"Trail Condition Only: Low → High",59.48,42.2,76.76,-102.22,221.24,"Bundle 2: Trail Condition","Low → High"
"Trail Condition Only: Medium → High",23.84,13.38,34.3,-146.14,192.42,"Bundle 2: Trail Condition","Medium → High"
"Crowding Only: High → Medium",20.09,9.36,30.83,-74.21,106.92,"Bundle 3: Crowding","High → Medium"
"Crowding Only: High → Low",25.3,14.71,35.89,-107.11,163.2,"Bundle 3: Crowding","High → Low"
"Crowding Only: Medium → Low",5.21,-4.61,15.02,-153.8,166.1,"Bundle 3: Crowding","Medium → Low"
"Habitat + Trail: Both → Medium",61.54,42.99,80.09,-106.74,239.95,"Bundle 4: Habitat + Trail","Both → Medium"
"Habitat + Trail: Both → High",122.15,91.36,152.95,-160.59,402.76,"Bundle 4: Habitat + Trail","Both → High"
"Habitat + Crowding: Both → Medium",45.99,29.58,62.41,-141.62,231.41,"Bundle 5: Habitat + Crowding","Both → Medium"
"Habitat + Crowding: Both → High",87.97,64.7,111.25,-161.55,351.18,"Bundle 5: Habitat + Crowding","Both → High"
"Trail + Crowding: Both → Medium",55.73,36.66,74.81,-64.62,169.26,"Bundle 6: Trail + Crowding","Both → Medium"
"Trail + Crowding: Both → High",84.78,61.78,107.77,-133.89,300.28,"Bundle 6: Trail + Crowding","Both → High"
