"Scenario","CV","CI_low","CI_high","Sim_CI_low","Sim_CI_high"
"Habitat Only: Low → Medium",25.9,15.14,36.66,-130.5,190.07
"Habitat Only: Low → High",62.68,45.48,79.87,-164.48,280.06
"Habitat Only: Medium → High",36.77,22.15,51.4,-221.98,298.5
"Trail Condition Only: Low → Medium",35.64,23.13,48.14,-40.17,108.49
"Trail Condition Only: Low → High",59.48,42.2,76.76,-102.22,221.24
"Trail Condition Only: Medium → High",23.84,13.38,34.3,-146.14,192.42
"Crowding Only: High → Medium",20.09,9.36,30.83,-74.21,106.92
"Crowding Only: High → Low",25.3,14.71,35.89,-107.11,163.2
"Crowding Only: Medium → Low",5.21,-4.61,15.02,-153.8,166.1
"Habitat + Trail: Both → Medium",61.54,42.99,80.09,-106.74,239.95
"Habitat + Trail: Both → High",122.15,91.36,152.95,-160.59,402.76
"Habitat + Crowding: Both → Medium",45.99,29.58,62.41,-141.62,231.41
"Habitat + Crowding: Both → High",87.97,64.7,111.25,-161.55,351.18
"Trail + Crowding: Both → Medium",55.73,36.66,74.81,-64.62,169.26
"Trail + Crowding: Both → High",84.78,61.78,107.77,-133.89,300.28
